iter	Passed	Remaining
399	36065	54098
400	36152	54003
401	36238	53906
402	36325	53812
403	36413	53719
404	36500	53624
405	36585	53527
406	36676	53437
407	36767	53348
408	36859	53261
409	36949	53171
410	37038	53079
411	37129	52990
412	37220	52902
413	37311	52812
414	37403	52724
415	37489	52629
416	37577	52536
417	37667	52446
418	37755	52352
419	37838	52253
420	37921	52153
421	38005	52054
422	38090	51957
423	38178	51865
424	38268	51775
425	38356	51682
426	38443	51588
427	38530	51493
428	38618	51400
429	38712	51316
430	38803	51227
431	38893	51137
432	38984	51049
433	39078	50963
434	39168	50874
435	39258	50784
436	39347	50692
437	39435	50600
438	39518	50500
439	39606	50408
440	39695	50316
441	39786	50227
442	39877	50139
443	39968	50050
444	40057	49959
445	40147	49868
446	40239	49782
447	40333	49696
448	40421	49604
449	40507	49508
450	40596	49417
451	40687	49329
452	40775	49236
453	40865	49146
454	40959	49061
455	41047	48969
456	41139	48881
457	41232	48794
458	41324	48706
459	41415	48618
460	41500	48522
461	41590	48431
462	41680	48341
463	41773	48255
464	41865	48167
465	41955	48077
466	42044	47986
467	42131	47893
468	42219	47800
469	42304	47705
470	42390	47611
471	42478	47518
472	42563	47422
473	42653	47332
474	42741	47240
475	42831	47150
476	42922	47062
477	43014	46973
478	43103	46883
479	43192	46791
480	43283	46703
481	43373	46612
482	43462	46522
483	43550	46429
484	43641	46341
485	43730	46249
486	43817	46156
487	43907	46066
488	43999	45979
489	44093	45892
490	44183	45803
491	44273	45713
492	44363	45623
493	44453	45533
494	44540	45439
495	44630	45349
496	44718	45258
497	44805	45165
498	44888	45068
499	44972	44972
500	45052	44872
501	45140	44780
502	45222	44683
503	45306	44587
504	45390	44491
505	45478	44399
506	45560	44302
507	45647	44209
508	45737	44120
509	45825	44028
510	45906	43930
511	45991	43835
512	46076	43741
513	46162	43648
514	46249	43555
515	46334	43460
516	46420	43367
517	46505	43273
518	46594	43182
519	46682	43091
520	46771	43000
521	46852	42902
522	46930	42802
523	47010	42704
524	47094	42609
525	47176	42512
526	47263	42420
527	47356	42333
528	47443	42241
529	47529	42148
530	47620	42060
531	47710	41971
532	47801	41882
533	47891	41792
534	47980	41702
535	48069	41612
536	48163	41526
537	48253	41437
538	48342	41346
539	48431	41256
540	48517	41163
541	48607	41074
542	48699	40986
543	48790	40897
544	48882	40809
545	48971	40720
546	49060	40629
547	49149	40539
548	49241	40451
549	49329	40360
550	49419	40271
551	49507	40180
552	49598	40091
553	49687	40001
554	49772	39907
555	49867	39822
556	49958	39733
557	50049	39644
558	50139	39555
559	50228	39464
560	50317	39375
561	50411	39288
562	50497	39195
563	50588	39107
564	50681	39020
565	50771	38930
566	50853	38835
567	50934	38739
568	51017	38643
569	51101	38550
570	51186	38456
571	51275	38366
572	51361	38274
573	51448	38183
574	51531	38088
575	51622	37999
576	51712	37910
577	51802	37820
578	51887	37728
579	51972	37635
580	52059	37543
581	52144	37451
582	52235	37362
583	52322	37270
584	52413	37182
585	52498	37089
586	52590	37001
587	52681	36912
588	52769	36822
589	52858	36732
590	52947	36641
591	53036	36552
592	53126	36462
593	53217	36374
594	53306	36283
595	53396	36195
596	53482	36102
597	53572	36013
598	53669	35928
599	53757	35838
600	53845	35747
601	53925	35651
602	54009	35558
603	54089	35462
604	54170	35367
605	54255	35274
606	54342	35183
607	54427	35091
608	54509	34996
609	54594	34904
610	54680	34813
611	54768	34722
612	54853	34630
613	54944	34541
614	55049	34461
615	55135	34370
616	55227	34281
617	55316	34192
618	55404	34101
619	55490	34010
620	55578	33919
621	55666	33829
622	55753	33738
623	55841	33648
624	55930	33558
625	56019	33468
626	56106	33377
627	56196	33288
628	56282	33196
629	56370	33106
630	56457	33015
631	56544	32924
632	56634	32835
633	56720	32743
634	56811	32655
635	56899	32565
636	56990	32476
637	57081	32387
638	57172	32299
639	57262	32210
640	57354	32122
641	57443	32032
642	57533	31943
643	57622	31853
644	57709	31762
645	57790	31668
646	57874	31575
647	57959	31484
648	58044	31392
649	58136	31304
650	58226	31215
651	58318	31127
652	58403	31035
653	58490	30944
654	58591	30861
655	58681	30772
656	58760	30677
657	58840	30582
658	58928	30492
659	59019	30403
660	59105	30312
661	59193	30222
662	59281	30132
663	59373	30044
664	59458	29952
665	59547	29863
666	59637	29774
667	59724	29683
668	59804	29589
669	59883	29494
670	59964	29401
671	60049	29310
672	60135	29218
673	60217	29125
674	60303	29034
675	60387	28943
676	60476	28853
677	60562	28762
678	60651	28673
679	60739	28583
680	60828	28493
681	60918	28404
682	61005	28314
683	61093	28224
684	61181	28134
685	61272	28046
686	61360	27956
687	61447	27865
688	61534	27775
689	61625	27686
690	61715	27597
691	61802	27507
692	61890	27417
693	61981	27329
694	62077	27242
695	62176	27157
696	62266	27068
697	62354	26978
698	62441	26888
699	62528	26797
700	62614	26707
701	62697	26615
702	62777	26521
703	62856	26428
704	62938	26335
705	63019	26243
706	63101	26151
707	63186	26059
708	63267	25967
709	63353	25876
710	63438	25785
711	63521	25694
712	63610	25604
713	63694	25513
714	63783	25424
715	63876	25336
716	63964	25246
717	64051	25156
718	64138	25066
719	64226	24976
720	64314	24887
721	64402	24797
722	64490	24708
723	64580	24619
724	64668	24529
725	64748	24436
726	64830	24344
727	64915	24254
728	65001	24163
729	65086	24073
730	65174	23983
731	65260	23893
732	65349	23803
733	65444	23716
734	65529	23626
735	65618	23537
736	65700	23445
737	65779	23352
738	65861	23261
739	65945	23169
740	66026	23077
741	66106	22985
742	66194	22896
743	66283	22807
744	66368	22716
745	66452	22625
746	66542	22537
747	66632	22448
748	66720	22359
749	66811	22270
750	66899	22181
751	66994	22094
752	67080	22003
753	67168	21914
754	67256	21825
755	67346	21736
756	67438	21648
757	67523	21557
758	67612	21468
759	67692	21376
760	67770	21283
761	67853	21193
762	67942	21104
763	68028	21013
764	68116	20924
765	68201	20834
766	68288	20744
767	68376	20655
768	68464	20566
769	68549	20475
770	68637	20386
771	68718	20295
772	68801	20204
773	68885	20113
774	68968	20023
775	69053	19933
776	69139	19843
777	69233	19755
778	69325	19667
779	69412	19577
780	69498	19488
781	69588	19399
782	69672	19308
783	69755	19218
784	69840	19128
785	69924	19037
786	70010	18948
787	70095	18858
788	70181	18768
789	70270	18679
790	70358	18590
791	70444	18500
792	70530	18410
793	70618	18321
794	70704	18231
795	70791	18142
796	70881	18053
797	70970	17964
798	71055	17875
799	71142	17785
800	71232	17696
801	71316	17606
802	71403	17517
803	71483	17426
804	71569	17336
805	71654	17246
806	71733	17155
807	71816	17065
808	71902	16975
809	71987	16886
810	72075	16796
811	72159	16706
812	72244	16617
813	72332	16528
814	72421	16439
815	72506	16349
816	72595	16260
817	72685	16172
818	72775	16083
819	72865	15994
820	72953	15905
821	73040	15816
822	73126	15727
823	73214	15638
824	73302	15548
825	73391	15460
826	73481	15371
827	73574	15283
828	73664	15194
829	73746	15104
830	73831	15015
831	73913	14924
832	73999	14835
833	74085	14746
834	74175	14657
835	74262	14568
836	74357	14480
837	74447	14391
838	74523	14300
839	74609	14211
840	74690	14121
841	74775	14031
842	74860	13942
843	74947	13852
844	75033	13763
845	75123	13674
846	75207	13585
847	75299	13497
848	75388	13408
849	75476	13319
850	75565	13230
851	75648	13140
852	75736	13051
853	75826	12963
854	75912	12874
855	76003	12785
856	76092	12696
857	76175	12607
858	76261	12517
859	76349	12428
860	76439	12340
861	76523	12250
862	76613	12162
863	76690	12071
864	76770	11981
865	76853	11891
866	76937	11802
867	77019	11712
868	77105	11623
869	77193	11534
870	77274	11444
871	77357	11355
872	77440	11265
873	77525	11176
874	77612	11087
875	77692	10997
876	77774	10907
877	77852	10817
878	77929	10727
879	78009	10637
880	78089	10547
881	78169	10458
882	78249	10368
883	78333	10279
884	78416	10189
885	78497	10100
886	78580	10010
887	78671	9922
888	78760	9833
889	78850	9745
890	78938	9656
891	79028	9568
892	79112	9479
893	79196	9390
894	79282	9301
895	79369	9212
896	79456	9123
897	79543	9034
898	79626	8945
899	79705	8856
900	79784	8766
901	79858	8676
902	79937	8586
903	80022	8497
904	80102	8408
905	80188	8319
906	80272	8230
907	80355	8141
908	80440	8052
909	80525	7964
910	80611	7875
911	80703	7787
912	80791	7698
913	80880	7610
914	80967	7521
915	81053	7432
916	81135	7343
917	81220	7255
918	81313	7166
919	81403	7078
920	81481	6989
921	81570	6900
922	81651	6811
923	81730	6722
924	81811	6633
925	81895	6544
926	81981	6455
927	82066	6367
928	82152	6278
929	82236	6189
930	82325	6101
931	82415	6013
932	82495	5924
933	82581	5835
934	82661	5746
935	82741	5657
936	82824	5568
937	82906	5479
938	82988	5391
939	83070	5302
940	83154	5213
941	83243	5125
942	83330	5036
943	83415	4948
944	83505	4860
945	83592	4771
946	83680	4683
947	83765	4594
948	83855	4506
949	83938	4417
950	84027	4329
951	84115	4241
952	84202	4152
953	84291	4064
954	84381	3976
955	84465	3887
956	84558	3799
957	84637	3710
958	84717	3621
959	84808	3533
960	84893	3445
961	84980	3356
962	85067	3268
963	85152	3179
964	85236	3091
965	85318	3002
966	85406	2914
967	85491	2826
968	85578	2737
969	85663	2649
970	85748	2560
971	85834	2472
972	85913	2384
973	85997	2295
974	86082	2207
975	86165	2118
976	86250	2030
977	86334	1942
978	86417	1853
979	86502	1765
980	86583	1676
981	86667	1588
982	86752	1500
983	86835	1411
984	86917	1323
985	86999	1235
986	87084	1147
987	87168	1058
988	87252	970
989	87335	882
990	87417	793
991	87502	705
992	87587	617
993	87670	529
994	87754	440
995	87837	352
996	87922	264
997	88005	176
998	88090	88
999	88173	0
