iter	Logloss
0	0.6720801153
1	0.6530972255
2	0.6325680252
3	0.6166026764
4	0.6016130733
5	0.5885699115
6	0.5755472834
7	0.5643236841
8	0.5541461205
9	0.5446549727
10	0.5357961027
11	0.5262046994
12	0.5187029913
13	0.5127954194
14	0.5049790206
15	0.4988085937
16	0.4916003372
17	0.4864256699
18	0.4805353271
19	0.4754319154
20	0.4711589903
21	0.4656487643
22	0.4612515224
23	0.4566212051
24	0.4523307539
25	0.4476265447
26	0.4432585626
27	0.4398584541
28	0.4361948966
29	0.4327525695
30	0.429317186
31	0.4260847641
32	0.4227628921
33	0.4198164582
34	0.4163652567
35	0.413264318
36	0.4101883689
37	0.4062781087
38	0.4034907468
39	0.4000728152
40	0.3973371777
41	0.3946503683
42	0.3919933014
43	0.3893089799
44	0.3863546741
45	0.383880592
46	0.3816308965
47	0.3795118673
48	0.3771423479
49	0.3747064743
50	0.3718652715
51	0.3692652017
52	0.3673520675
53	0.3643767823
54	0.3623151958
55	0.3602011422
56	0.357911493
57	0.3558846245
58	0.3541000401
59	0.352104288
60	0.3497781384
61	0.3472991178
62	0.3456370307
63	0.3438171712
64	0.3421081497
65	0.3392923449
66	0.3371400457
67	0.3355879055
68	0.3339503253
69	0.3323374748
70	0.3308488667
71	0.3292614885
72	0.3275198654
73	0.3257811386
74	0.3243828719
75	0.3229802608
76	0.3216161181
77	0.3201892229
78	0.3188947021
79	0.3171391175
80	0.3157985162
81	0.3144157706
82	0.3131417464
83	0.3118113563
84	0.3097047477
85	0.3081803447
86	0.3069442134
87	0.3057292657
88	0.304264719
89	0.3032021596
90	0.3019472768
91	0.3006808274
92	0.299382055
93	0.2979724817
94	0.2967460046
95	0.2955328764
96	0.294042746
97	0.2930299058
98	0.2917028205
99	0.2906504166
100	0.2895570379
101	0.2884726637
102	0.2873506008
103	0.286124625
104	0.285087575
105	0.2840750505
106	0.2832293771
107	0.2822367366
108	0.2804931269
109	0.278992414
110	0.2781152529
111	0.2771970057
112	0.2758721669
113	0.2746383563
114	0.2738702323
115	0.2729677846
116	0.2720795768
117	0.2712092109
118	0.2702186869
119	0.2692168006
120	0.2682916469
121	0.2673943047
122	0.2665312723
123	0.265418975
124	0.2644804353
125	0.2636051309
126	0.262613957
127	0.261593672
128	0.2608981033
129	0.2601297566
130	0.2593665525
131	0.2585599973
132	0.2573171637
133	0.2565996317
134	0.2558832507
135	0.255034124
136	0.2542658329
137	0.2535804569
138	0.2524495752
139	0.2517993071
140	0.2511853909
141	0.2505463923
142	0.2497115984
143	0.2490287845
144	0.2482729325
145	0.2476052868
146	0.2470547729
147	0.2462941681
148	0.2456646009
149	0.2450615828
150	0.2443526467
151	0.2437026943
152	0.2427902767
153	0.2420637031
154	0.2414543355
155	0.2408184559
156	0.2395330695
157	0.2387584103
158	0.237923338
159	0.2372697466
160	0.23656716
161	0.2358918095
162	0.2352177772
163	0.2346567179
164	0.2340548137
165	0.2335423041
166	0.2329548628
167	0.2323725085
168	0.2318197852
169	0.2313227966
170	0.230701157
171	0.2300935903
172	0.2296362954
173	0.2290258882
174	0.228497022
175	0.227986666
176	0.22731527
177	0.2268024633
178	0.2263103761
179	0.2254660023
180	0.2249292642
181	0.2244165689
182	0.2239083665
183	0.2233121435
184	0.222797406
185	0.2220295048
186	0.2214443099
187	0.2209663513
188	0.2204677289
189	0.219926962
190	0.2191372275
191	0.2186184982
192	0.2179781257
193	0.2174855929
194	0.2168590705
195	0.2164309425
196	0.2159488252
197	0.2153865034
198	0.214934147
199	0.2145067431
200	0.2140235118
201	0.21359362
202	0.2131373277
203	0.2125572199
204	0.2120798553
205	0.211523289
206	0.2111331467
207	0.2106991705
208	0.2101227758
209	0.209738259
210	0.2093376827
211	0.2089278421
212	0.2085038728
213	0.2081854132
214	0.2077533307
215	0.207252926
216	0.2066804673
217	0.2062356857
218	0.205810157
219	0.2052620752
220	0.2048380874
221	0.2044511942
222	0.2040759417
223	0.2036625735
224	0.2032546266
225	0.2028320498
226	0.2022059173
227	0.2017366103
228	0.2014130822
229	0.2009659243
230	0.2006257798
231	0.2002823862
232	0.1999484056
233	0.1995766991
234	0.1990900517
235	0.1987678418
236	0.1983195699
237	0.1978647628
238	0.19753793
239	0.1971664649
240	0.1967259535
241	0.1963596869
242	0.1959378342
243	0.1955764132
244	0.1952183156
245	0.1946689713
246	0.1942679309
247	0.1939090349
248	0.1935756112
249	0.1932721899
250	0.1927447904
251	0.1923880481
252	0.1919158634
253	0.1916396224
254	0.1913043979
255	0.1909860125
256	0.1906865643
257	0.1903903094
258	0.1901193411
259	0.1897910602
260	0.1894943597
261	0.1891242871
262	0.188609271
263	0.1882361536
264	0.1878023816
265	0.1874685866
266	0.1868774878
267	0.1864404297
268	0.1861874146
269	0.1858726496
270	0.1856316837
271	0.1853344634
272	0.1849678626
273	0.1845075229
274	0.1841572785
275	0.1838155374
276	0.1834282542
277	0.1831029067
278	0.1827995968
279	0.1822825013
280	0.1816658188
281	0.1813477491
282	0.1810702828
283	0.1807807302
284	0.180495262
285	0.1801845629
286	0.1798961056
287	0.1796117514
288	0.1793816466
289	0.1791243613
290	0.1787671548
291	0.1784573654
292	0.1780934567
293	0.1778477751
294	0.1775992158
295	0.1772452397
296	0.1769738073
297	0.176520894
298	0.176225326
299	0.1759688948
300	0.1757143016
301	0.1753440062
302	0.1750132374
303	0.1748223807
304	0.174533218
305	0.1742682836
306	0.1740256097
307	0.1737379693
308	0.1733942602
309	0.1730672417
310	0.1728097337
311	0.1725090416
312	0.1722882567
313	0.1720175299
314	0.171797729
315	0.1714987078
316	0.1712409213
317	0.1708900829
318	0.1706611662
319	0.1704273296
320	0.1701617269
321	0.1699280389
322	0.1696777529
323	0.1694353946
324	0.1692182302
325	0.1689830011
326	0.1687420538
327	0.168500531
328	0.1680692654
329	0.1678848325
330	0.1676022049
331	0.1674226362
332	0.1672023155
333	0.1668954038
334	0.1666896945
335	0.1664128223
336	0.1661662496
337	0.1659093728
338	0.165677467
339	0.1653005993
340	0.1650640707
341	0.1647998975
342	0.1645250119
343	0.1642816882
344	0.1640364707
345	0.163578656
346	0.16338067
347	0.163125
348	0.1629119943
349	0.1627004738
350	0.1624846275
351	0.1622888323
352	0.1620643343
353	0.1617696204
354	0.1615453452
355	0.16124987
356	0.1609478597
357	0.1607735823
358	0.1604930155
359	0.160219281
360	0.1598799162
361	0.1597036708
362	0.1594995581
363	0.1592675224
364	0.1590526787
365	0.1588928269
366	0.1586532906
367	0.158411842
368	0.1582063555
369	0.1580194161
370	0.1578048694
371	0.1576067535
372	0.1574146529
373	0.1572452026
374	0.1570163788
375	0.1567895972
376	0.1565663431
377	0.1563566235
378	0.1561845926
379	0.1559370916
380	0.1557235567
381	0.1554974528
382	0.1552194388
383	0.1550549084
384	0.1548304476
385	0.1545882749
386	0.1543823985
387	0.1541618086
388	0.1538967443
389	0.1537182803
390	0.1535063235
391	0.1533056641
392	0.1531297714
393	0.1529382928
394	0.1527468141
395	0.1525420702
396	0.1523530979
397	0.1521788205
398	0.151969268
399	0.1517543128
400	0.1515512213
401	0.1513731007
402	0.1511564004
403	0.1509529468
404	0.1507678455
405	0.1505428555
406	0.1503295249
407	0.1501507638
408	0.1499721327
409	0.1498274214
410	0.1496239956
411	0.149425629
412	0.1492166149
413	0.1490227598
414	0.148821562
415	0.1485757226
416	0.148401111
417	0.1481771514
418	0.148035949
419	0.1479001957
420	0.147722038
421	0.1475416524
422	0.1473274678
423	0.1471433133
424	0.146977734
425	0.1468096297
426	0.1466348325
427	0.1464894063
428	0.146312112
429	0.1460751099
430	0.1458173605
431	0.14548778
432	0.1452316644
433	0.1450187886
434	0.144850248
435	0.1446859869
436	0.1445144851
437	0.1443556637
438	0.1441213444
439	0.1439871506
440	0.1437434834
441	0.1436086305
442	0.1434478504
443	0.1432791799
444	0.1430995648
445	0.1429209801
446	0.1427520404
447	0.1425742169
448	0.1424412299
449	0.1422515428
450	0.1420888505
451	0.1419714495
452	0.1418028161
453	0.1416655868
454	0.1414896013
455	0.1413326272
456	0.1411825225
457	0.1410570732
458	0.1409147197
459	0.1407680033
460	0.1406277385
461	0.1404772531
462	0.1403329224
463	0.1401622932
464	0.1400061174
465	0.1398807888
466	0.1397302014
467	0.1395744527
468	0.1393934544
469	0.1392132916
470	0.139074902
471	0.1389407453
472	0.1388110259
473	0.1386761823
474	0.1385423134
475	0.1384171519
476	0.1382226284
477	0.1380040901
478	0.137882521
479	0.1377389979
480	0.137608935
481	0.1374828823
482	0.1373380874
483	0.1372348336
484	0.1370709716
485	0.1369361001
486	0.1368076339
487	0.1366981048
488	0.1364804205
489	0.1363244304
490	0.1361674192
491	0.1359351607
492	0.1358146314
493	0.1357026237
494	0.1355533266
495	0.1354043823
496	0.1352608127
497	0.1351498634
498	0.1350331771
499	0.1349059362
500	0.134783541
501	0.1346261956
502	0.1344738445
503	0.1343049511
504	0.134097608
505	0.1338596312
506	0.1336880087
507	0.1335853304
508	0.1334099019
509	0.1332451116
510	0.1331411244
511	0.1329438996
512	0.1328342499
513	0.1327069069
514	0.1325717476
515	0.1324121094
516	0.132257224
517	0.1321145641
518	0.1319370563
519	0.1318102888
520	0.1316937233
521	0.1315647279
522	0.1314498983
523	0.1313418451
524	0.1312099071
525	0.1310686304
526	0.1309044714
527	0.1307786415
528	0.1306647402
529	0.13054215
530	0.1304077334
531	0.1302740502
532	0.130106113
533	0.1299178741
534	0.1298132835
535	0.1296900342
536	0.1294876203
537	0.1293641668
538	0.1292399893
539	0.1291062968
540	0.1289841429
541	0.1288613857
542	0.1287522186
543	0.1286090854
544	0.1284649032
545	0.1283340698
546	0.1282220993
547	0.1281321386
548	0.1280074597
549	0.127900502
550	0.1277868327
551	0.1276805898
552	0.1275441774
553	0.1274366255
554	0.127299127
555	0.127188911
556	0.1270758544
557	0.1269392006
558	0.1268113749
559	0.1267192977
560	0.1265616274
561	0.1264288725
562	0.1263364332
563	0.1261576536
564	0.1260457759
565	0.1258607025
566	0.1257474323
567	0.1256508808
568	0.1255046285
569	0.1253868933
570	0.1252476124
571	0.125084753
572	0.124968763
573	0.1248486235
574	0.1247288461
575	0.1246026727
576	0.1244714031
577	0.1243763182
578	0.1242792839
579	0.1241574549
580	0.12407182
581	0.1239624673
582	0.1238021236
583	0.1236533927
584	0.1235365301
585	0.1234348729
586	0.1233245455
587	0.1232037191
588	0.1231214075
589	0.123024531
590	0.1228638624
591	0.1227620102
592	0.1226245303
593	0.1225097378
594	0.1223889485
595	0.122279308
596	0.1221428028
597	0.1220594701
598	0.1219643016
599	0.1218756777
600	0.1217788383
601	0.1216538996
602	0.1214699958
603	0.1213686542
604	0.1212427222
605	0.1211175978
606	0.121014641
607	0.1209186186
608	0.120838442
609	0.1207457057
610	0.1206329926
611	0.1205635935
612	0.1204556611
613	0.1202871669
614	0.12019884
615	0.1201026783
616	0.1199675005
617	0.119878004
618	0.1197725222
619	0.1196717933
620	0.1195744991
621	0.1194795627
622	0.1193636841
623	0.1192723588
624	0.1191632289
625	0.1190801747
626	0.1189695038
627	0.1188700838
628	0.1187436969
629	0.1186473124
630	0.1185405775
631	0.1184377228
632	0.1183730766
633	0.1182876088
634	0.1181615747
635	0.1180781956
636	0.1179862576
637	0.1178836628
638	0.1177876961
639	0.117697559
640	0.1175860248
641	0.1174864841
642	0.1173712924
643	0.1172516449
644	0.1171704473
645	0.1170778688
646	0.1169814193
647	0.1168371257
648	0.1167526698
649	0.1166575942
650	0.1165464684
651	0.1164558486
652	0.116357394
653	0.116260926
654	0.1161752354
655	0.1160459708
656	0.1159514429
657	0.1158602012
658	0.1157450374
659	0.1156371792
660	0.1155442201
661	0.1154613422
662	0.1153818805
663	0.1152720636
664	0.1152031844
665	0.1151257928
666	0.115053581
667	0.1149522116
668	0.1148624829
669	0.1148015127
670	0.1146712178
671	0.1145910227
672	0.1144779197
673	0.1143880611
674	0.1142468958
675	0.1141536489
676	0.1140470811
677	0.1139542148
678	0.1137849038
679	0.1136908029
680	0.1135779783
681	0.1134871079
682	0.1133946594
683	0.1133220855
684	0.1132395697
685	0.1131496554
686	0.1130774436
687	0.1129688057
688	0.1128989889
689	0.1128020474
690	0.1127118361
691	0.1126207243
692	0.1125426271
693	0.1124676398
694	0.1123884565
695	0.1123122159
696	0.112214374
697	0.1121240699
698	0.1120538632
699	0.111961229
700	0.1118933152
701	0.1118043849
702	0.1117356913
703	0.1116414419
704	0.1115033864
705	0.1114268674
706	0.1113325529
707	0.1112259758
708	0.1111477858
709	0.1110566648
710	0.1109929747
711	0.1109140606
712	0.1108313128
713	0.1107561119
714	0.1106632178
715	0.1105775457
716	0.1104864989
717	0.1104133681
718	0.1103260345
719	0.1102349877
720	0.1101752707
721	0.1101054168
722	0.1100279694
723	0.1099190623
724	0.1098392664
725	0.1097544391
726	0.1096837497
727	0.1096050677
728	0.1095183096
729	0.1094583327
730	0.1093841622
731	0.1092837025
732	0.1092067008
733	0.1090907201
734	0.109001734
735	0.1089514856
736	0.1088874614
737	0.1088162893
738	0.1087546693
739	0.1086732674
740	0.1086201413
741	0.1085544554
742	0.1084790875
743	0.1083929049
744	0.1082715401
745	0.1081848562
746	0.1080948955
747	0.1080039137
748	0.107931377
749	0.1078506806
750	0.1077449854
751	0.1076328849
752	0.1075749688
753	0.1074526664
754	0.1073622416
755	0.1072740539
756	0.1071743368
757	0.1071038238
758	0.1070105677
759	0.1069584534
760	0.106910832
761	0.1068450812
762	0.1067357099
763	0.1066283251
764	0.1065465241
765	0.1064854982
766	0.1064084965
767	0.1063555003
768	0.1061893547
769	0.1060837059
770	0.1060192268
771	0.1059369059
772	0.1058660216
773	0.1058012175
774	0.1057259238
775	0.1056643039
776	0.1056026375
777	0.1055321894
778	0.105450277
779	0.1053783344
780	0.1052963663
781	0.105217675
782	0.1051556002
783	0.1050803807
784	0.1050096635
785	0.104952323
786	0.1048864978
787	0.1048194659
788	0.104748071
789	0.1045984676
790	0.1045061861
791	0.1044441484
792	0.1043894906
793	0.1042822451
794	0.1042352365
795	0.1041495273
796	0.1040838414
797	0.1040160112
798	0.1039529895
799	0.1038835347
800	0.1038023278
801	0.1037186887
802	0.1036672335
803	0.1036078507
804	0.1035472148
805	0.1034570777
806	0.1033859148
807	0.1033222062
808	0.1032152485
809	0.1031509365
810	0.1030974297
811	0.103033619
812	0.1029633473
813	0.1029075106
814	0.102841769
815	0.1027528387
816	0.1026821957
817	0.1026064657
818	0.1025329358
819	0.1024540681
820	0.1024145508
821	0.1023424133
822	0.1022794473
823	0.1021957339
824	0.1021348473
825	0.1020344805
826	0.1019716073
827	0.1019084742
828	0.1018572418
829	0.1018104188
830	0.1017447886
831	0.101668975
832	0.1016172692
833	0.1015554357
834	0.1014793529
835	0.1013791346
836	0.1013203459
837	0.1012689928
838	0.1011948873
839	0.1011547852
840	0.1010899719
841	0.1010146039
842	0.1009723016
843	0.1009076183
844	0.1008623919
845	0.1007696092
846	0.1007294792
847	0.1006720551
848	0.1006185669
849	0.1005652459
850	0.1005032732
851	0.1004304765
852	0.1003806273
853	0.1003303882
854	0.1002652685
855	0.1001887959
856	0.1001340453
857	0.1000781807
858	0.1000075006
859	0.09994750512
860	0.09989758162
861	0.09982488712
862	0.09977115762
863	0.09972910602
864	0.09966475686
865	0.09960831675
866	0.09954236165
867	0.09950322488
868	0.09945637402
869	0.09937966931
870	0.09932566131
871	0.09927015877
872	0.09919933014
873	0.0991318248
874	0.09908724825
875	0.0990271321
876	0.09897459081
877	0.09892703444
878	0.09884773051
879	0.09877244608
880	0.09871282193
881	0.09865591767
882	0.09860410973
883	0.0985428982
884	0.09848956786
885	0.09843804769
886	0.0983980012
887	0.09832387714
888	0.09824822139
889	0.0981892192
890	0.09812299489
891	0.0980128624
892	0.09796016331
893	0.09791555891
894	0.0978486291
895	0.0977956051
896	0.0977218245
897	0.09766213537
898	0.09762468809
899	0.09755561393
900	0.09749752146
901	0.09740717087
902	0.09735661612
903	0.09730449256
904	0.09727309775
905	0.0971986395
906	0.09713457811
907	0.09709404891
908	0.09704779215
909	0.0970105491
910	0.09695681032
911	0.09688183222
912	0.09685928403
913	0.09677109635
914	0.09671713477
915	0.09667201053
916	0.09663217755
917	0.09658595792
918	0.09653065032
919	0.09643913936
920	0.09638812975
921	0.09630030411
922	0.09625317476
923	0.09617706415
924	0.09614510308
925	0.09609698974
926	0.0960481152
927	0.09599411649
928	0.0959532531
929	0.09588505154
930	0.0958298739
931	0.09576002926
932	0.09569562441
933	0.09564437344
934	0.09556677757
935	0.09550185287
936	0.0954561995
937	0.09541188287
938	0.09534693961
939	0.09530977082
940	0.09526580695
941	0.09515243472
942	0.09510672566
943	0.09501541892
944	0.09496073328
945	0.09490445097
946	0.09485702457
947	0.0948180549
948	0.09476897613
949	0.09473647665
950	0.09467485667
951	0.09462508169
952	0.09458255666
953	0.09454261229
954	0.09450422744
955	0.09444360073
956	0.09438933282
957	0.09432615331
958	0.09429087824
959	0.09423998931
960	0.09418279728
961	0.09411399232
962	0.09405904676
963	0.09402588819
964	0.09395568151
965	0.09390817156
966	0.09385592733
967	0.09382685324
