iter	Logloss
0	0.674303772
1	0.6560474854
2	0.6381881714
3	0.6207064209
4	0.6073770752
5	0.5947935181
6	0.5838447876
7	0.5719733887
8	0.5616035767
9	0.551272644
10	0.5420237427
11	0.5331138916
12	0.5239108887
13	0.5180090332
14	0.5107200623
15	0.5048722534
16	0.4981685181
17	0.492072876
18	0.48503302
19	0.4795846558
20	0.475853302
21	0.4712420654
22	0.4665877991
23	0.4625720825
24	0.4580385742
25	0.452503418
26	0.4483665466
27	0.4438895264
28	0.4394940491
29	0.435682373
30	0.432153595
31	0.4286981812
32	0.4238762207
33	0.4209199829
34	0.4170155945
35	0.412829834
36	0.4097293091
37	0.4065093384
38	0.4034415894
39	0.4001649475
40	0.3973548889
41	0.3945922241
42	0.3920673523
43	0.3897979736
44	0.3874851074
45	0.3846465759
46	0.3823839722
47	0.3804010925
48	0.3774755554
49	0.3744072571
50	0.3718496704
51	0.3692467346
52	0.3670018616
53	0.3650581665
54	0.3630585632
55	0.3613876038
56	0.3595924072
57	0.3577687073
58	0.3558110046
59	0.3538074341
60	0.3524241943
61	0.3504921875
62	0.3488479614
63	0.3474071045
64	0.345680481
65	0.343580719
66	0.3416290894
67	0.3400883179
68	0.3386755371
69	0.3371376953
70	0.3354293823
71	0.3339778748
72	0.332272644
73	0.3313188477
74	0.3300500488
75	0.3287446289
76	0.327112915
77	0.3252496338
78	0.3237198792
79	0.3222884216
80	0.3211859436
81	0.3199165955
82	0.3184056091
83	0.3170177002
84	0.3160426331
85	0.31444104
86	0.3130509949
87	0.3118566895
88	0.3104172974
89	0.3093104553
90	0.308453125
91	0.3073233643
92	0.3062382507
93	0.3050147095
94	0.3037529907
95	0.3017297668
96	0.300370636
97	0.2991975098
